OBJECTID_1,OBJECTID,STATE,COUNTY,TRACT,BLKGRP,SUM_POP100,SUM_HU100,SUM_TotPop,SUM_HispPo,SUM_NonHis,SUM_NHOneR,SUM_NH_Whi,SUM_NH_Bla,SUM_NH_AmI,SUM_NH_Asi,SUM_NH_Haw,SUM_NH_Oth,SUM_NH_2or,SUM_VAP_To,SUM_VAP_Hi,SUM_VAP_No,SUM_VAP_NH,SUM_VAP__1,SUM_VAP__2,SUM_VAP__3,SUM_VAP__4,SUM_VAP_Ha,SUM_VAP__5,SUM_VAP__6,SUM_TotHou,SUM_OccHU,SUM_Vacant,BG_ID,GEOID,BG_ID_1,Median_HHI
896,896,48,201,422100,2,972,332,972,441,531,518,315,134,5,59,3,2,13,716,272,444,436,272,102,3,55,2,2,8,332,315,17,482014221002,15000US482014221002,482014221002,59946
897,897,48,201,422100,3,1253,405,1253,708,545,528,274,200,6,48,0,0,17,906,471,435,424,232,145,6,41,0,0,11,405,381,24,482014221003,15000US482014221003,482014221003,54673
898,898,48,201,422100,4,917,328,917,428,489,477,256,153,0,68,0,0,12,691,295,396,387,228,105,0,54,0,0,9,328,306,22,482014221004,15000US482014221004,482014221004,56176
899,899,48,201,422100,5,917,398,917,198,719,702,573,89,0,39,0,1,17,745,138,607,596,499,66,0,30,0,1,11,398,383,15,482014221005,15000US482014221005,482014221005,120515
900,900,48,201,422200,1,1644,1216,1644,308,1336,1311,67,1212,3,21,0,8,25,1230,203,1027,1011,61,921,3,21,0,5,16,1216,788,428,482014222001,15000US482014222001,482014222001,20176
901,901,48,201,422200,2,2168,1003,2168,640,1528,1515,46,1449,2,17,0,1,13,1333,392,941,932,40,878,2,11,0,1,9,1003,703,300,482014222002,15000US482014222002,482014222002,29412
902,902,48,201,422200,3,609,455,609,59,550,539,16,515,1,7,0,0,11,447,41,406,400,15,377,1,7,0,0,6,455,287,168,482014222003,15000US482014222003,482014222003,31344
903,903,48,201,422301,1,1950,1131,1950,318,1632,1606,68,1505,4,29,0,0,26,1369,205,1164,1147,58,1070,1,18,0,0,17,1131,887,244,482014223011,15000US482014223011,482014223011,25482
904,904,48,201,422301,2,1780,600,1780,611,1169,1139,67,1014,0,55,0,3,30,1226,411,815,794,58,694,0,41,0,1,21,600,547,53,482014223012,15000US482014223012,482014223012,34836
905,905,48,201,422301,3,1345,526,1345,288,1057,1031,40,956,0,35,0,0,26,887,181,706,697,31,635,0,31,0,0,9,526,437,89,482014223013,15000US482014223013,482014223013,32109
906,906,48,201,422301,4,2033,628,2033,809,1224,1184,27,581,5,556,6,9,40,1305,519,786,764,21,359,2,369,6,7,22,628,533,95,482014223014,15000US482014223014,482014223014,22537
