OBJECTID,STATE,COUNTY,TRACT,SUM_POP100,SUM_HU100,SUM_TotPop,SUM_HispPop,SUM_NonHispPop,SUM_NHOneRace,SUM_NH_White,SUM_NH_Black,SUM_NH_AmInd,SUM_NH_Asian,SUM_NH_HawPacI,SUM_NH_Other,SUM_NH_2orMore,SUM_VAP_TotPop,SUM_VAP_HispPo,SUM_VAP_NonHis,SUM_VAP_NHOneR,SUM_VAP_NH_Whi,SUM_VAP_NH_Bla,SUM_VAP_NH_AmI,SUM_VAP_NH_Asi,SUM_VAP_HawPac,SUM_VAP_NH_Oth,SUM_VAP_NH_2or,SUM_TotHousing,SUM_OccHU,SUM_VacantHU,Shapearea,Shapelen
17,48,039,660802,7486,2444,7486,1881,5605,5435,4165,998,9,234,4,25,170,5047,1135,3912,3836,2985,653,7,178,3,10,76,2444,2371,73,81841576.446474,46945.69333
18,48,039,660900,6806,2301,6806,3609,3197,3150,2728,210,23,165,3,21,47,4767,2284,2483,2454,2133,152,18,132,3,16,29,2301,2065,236,484483256.500466,94545.740878
19,48,039,661000,6432,2327,6432,2450,3982,3934,3751,100,9,65,0,9,48,4728,1577,3151,3121,2986,73,9,50,0,3,30,2327,2173,154,459603866.299341,114034.311958
20,48,039,661100,3175,1169,3175,1316,1859,1838,1695,103,16,13,1,10,21,2136,770,1366,1354,1271,59,11,10,1,2,12,1169,1040,129,151663431.69361,64170.864617
21,48,039,661200,4178,1799,4178,1427,2751,2712,2426,149,15,110,2,10,39,3049,935,2114,2088,1886,106,12,77,2,5,26,1799,1619,180,37875205.408994,30861.076755
22,48,039,661300,2676,1069,2676,1379,1297,1279,1194,62,15,7,0,1,18,1920,895,1025,1015,956,44,9,6,0,0,10,1069,924,145,36574878.509534,27716.81983
23,48,039,661400,6760,2680,6760,2080,4680,4616,4442,120,24,19,1,10,64,4936,1304,3632,3598,3483,81,20,13,0,1,34,2680,2473,207,75438463.835928,34260.267314
24,48,039,661501,4726,1713,4726,1666,3060,3026,2848,140,18,19,1,0,34,3483,1076,2407,2391,2264,97,14,15,1,0,16,1713,1607,106,419067631.981551,132654.078911
25,48,039,661502,4623,1664,4623,1157,3466,3411,3172,164,28,39,0,8,55,3399,721,2678,2649,2485,110,23,30,0,1,29,1664,1571,93,682202182.006475,162245.878927
26,48,039,661601,6184,2430,6184,1756,4428,4339,4058,212,26,35,0,8,89,4611,1115,3496,3443,3243,143,24,28,0,5,53,2430,2242,188,254559135.906681,64426.122991
27,48,039,661602,3026,1068,3026,1347,1679,1646,1564,44,0,28,0,10,33,2135,843,1292,1275,1215,34,0,21,0,5,17,1068,996,72,359279536.440387,101944.176662
28,48,039,661700,2767,1209,2767,638,2129,2103,2017,65,12,2,0,7,26,2063,381,1682,1664,1606,40,12,2,0,4,18,1209,1017,192,5473465892.22973,419490.972234
29,48,039,661800,5385,1866,5385,1489,3896,3810,2896,341,17,551,0,5,86,3921,956,2965,2924,2264,256,14,386,0,4,41,1866,1722,144,1740361123.94936,232734.672546
30,48,039,661900,12253,2166,12253,4106,8147,8037,4380,3483,30,126,2,16,110,10440,3166,7274,7203,3816,3258,22,95,2,10,71,2166,1888,278,3313814464.36674,304473.238704
31,48,039,662000,6209,2808,6209,1325,4884,4781,4123,591,36,28,0,3,103,4717,819,3898,3848,3345,448,30,22,0,3,50,2808,2406,402,4371741485.50685,377562.469356
32,48,039,662100,5849,2275,5849,1822,4027,3967,2952,944,17,49,0,5,60,4254,1140,3114,3098,2333,713,13,36,0,3,16,2275,2052,223,1566012185.56094,194556.589116
33,48,039,662200,6736,2463,6736,1490,5246,5148,4209,815,27,86,0,11,98,5090,984,4106,4065,3325,638,19,74,0,9,41,2463,2253,210,1014730109.90743,141710.932269
34,48,039,662300,4499,1846,4499,1131,3368,3321,2915,358,16,27,3,2,47,3196,699,2497,2478,2227,207,14,26,2,2,19,1846,1692,154,37116501.9789,27624.24808
35,48,039,662400,5637,2124,5637,1307,4330,4242,3900,281,16,41,0,4,88,4025,843,3182,3151,2913,187,13,37,0,1,31,2124,1990,134,1017747820.68294,193464.090382
36,48,039,662500,2486,892,2486,702,1784,1755,1494,243,6,12,0,0,29,1873,491,1382,1370,1184,171,4,11,0,0,12,892,821,71,1051593909.24645,164211.806702
37,48,039,662600,3333,1403,3333,521,2812,2773,2446,286,21,19,0,1,39,2446,299,2147,2128,1905,192,16,14,0,1,19,1403,1255,148,345934429.985067,113467.539054
