"","COUNTY","TRACT","BLKGRP","SUM_POP100","SUM_HU100","SUM_TotPop","SUM_HispPo","SUM_NonHis","SUM_NHOneR","SUM_NH_Whi","SUM_NH_Bla","SUM_NH_AmI","SUM_NH_Asi","SUM_NH_Haw","SUM_NH_Oth","SUM_NH_2or","SUM_VAP_To","SUM_VAP_Hi","SUM_VAP_No","SUM_VAP_NH","SUM_VAP__1","SUM_VAP__2","SUM_VAP__3","SUM_VAP__4","SUM_VAP_Ha","SUM_VAP__5","SUM_VAP__6","SUM_TotHou","SUM_OccHU","SUM_Vacant","Shapearea","Median_HHI","Median_House_Value","Only_English","Only_Spanish","Other_Languages","Percent_Only_English","Percent_Only_Spanish","Percent_Other_Languages","No_HS","HS_Graduate","Some_College","BS_and_Higher","Percent_No_HS","Percent_HS_Graduate","Percent_Some_College","Percent_BS_and_Higher","Vac_Rate"
"532502-1",201,532502,1,1144,359,1144,779,365,352,249,89,1,9,0,4,13,775,464,311,298,231,59,0,7,0,1,13,359,339,20,6855966.503528,46810,130500,613,408,0,60.039177,39.960823,0,45,373,87,169,6.676558,55.341246,12.908012,25.074184,5.57103064066852
"532502-2",201,532502,2,1450,377,1450,1115,335,328,172,84,5,63,0,4,7,956,702,254,250,140,52,2,53,0,3,4,377,363,14,7793137.379786,44167,114000,246,397,0,38.258165,61.741835,0,152,100,81,15,43.678161,28.735632,23.275862,4.310345,3.71352785145889
"532502-3",201,532502,3,2968,799,2968,2382,586,575,299,233,1,36,0,6,11,1950,1492,458,453,259,160,1,30,0,3,5,799,765,34,8301490.914112,42083,84900,1333,1727,44,42.944588,55.637887,1.417526,992,902,251,47,45.255474,41.149635,11.45073,2.144161,4.25531914893617
"532600-1",201,532600,1,276,131,276,222,54,54,2,46,0,3,0,3,0,176,134,42,42,2,36,0,3,0,1,0,131,82,49,364524.202499,27258,105700,918,820,0,52.819333,47.180667,0,533,410,199,67,44.086022,33.912324,16.459884,5.54177,37.4045801526718
"532600-2",201,532600,2,1409,453,1409,632,777,763,180,555,1,25,0,2,14,1009,412,597,595,167,406,1,21,0,0,2,453,426,27,4435431.565508,54519,107800,701,102,29,84.254808,12.259615,3.485577,79,105,210,81,16.631579,22.105263,44.210526,17.052632,5.96026490066225
"532600-3",201,532600,3,284,76,284,172,112,112,19,89,3,1,0,0,0,184,105,79,79,17,58,3,1,0,0,0,76,68,8,3741538.013077,46705,109000,1248,1012,291,48.921991,39.670717,11.407291,532,495,354,253,32.55814,30.293758,21.664627,15.483476,10.5263157894737
"532700-1",201,532700,1,947,409,947,229,718,694,255,393,4,38,2,2,24,763,154,609,596,242,311,2,37,2,2,13,409,385,24,7581703.943439,57165,104800,1113,395,110,68.788628,24.412855,6.798517,140,341,466,201,12.195122,29.703833,40.592334,17.508711,5.8679706601467
"532700-2",201,532700,2,851,320,851,269,582,581,277,292,2,9,0,1,1,650,172,478,477,246,221,1,8,0,1,1,320,298,22,6167816.260877,61117,128400,807,198,64,75.491113,18.521983,5.986904,150,238,209,176,19.404916,30.789133,27.037516,22.768435,6.875
"532700-3",201,532700,3,866,323,866,318,548,542,274,254,3,10,0,1,6,676,217,459,455,256,188,3,7,0,1,4,323,304,19,7356297.597631,40605,115900,950,279,26,75.697211,22.231076,2.071713,120,203,261,130,16.806723,28.431373,36.554622,18.207283,5.88235294117647
"532800-1",201,532800,1,1684,718,1684,731,953,936,389,473,4,66,2,2,17,1242,484,758,748,353,336,3,53,2,1,10,718,613,105,14501292.287359,44091,113100,942,675,165,52.861953,37.878788,9.259259,295,211,273,365,25.786713,18.444056,23.863636,31.905594,14.6239554317549
"532900-1",201,532900,1,151,104,151,112,39,39,4,35,0,0,0,0,0,87,61,26,26,4,22,0,0,0,0,0,104,46,58,246752.081181,47788,97300,574,657,13,46.141479,52.813505,1.045016,343,288,102,52,43.694268,36.687898,12.993631,6.624204,55.7692307692308
"532900-2",201,532900,2,262,191,262,239,23,23,3,20,0,0,0,0,0,170,152,18,18,3,15,0,0,0,0,0,191,88,103,433107.621368,49474,104800,896,340,148,64.739884,24.566474,10.693642,241,239,189,227,26.897321,26.674107,21.09375,25.334821,53.9267015706806
"533000-1",201,533000,1,1416,727,1416,424,992,981,22,940,8,10,0,1,11,1025,270,755,750,20,714,8,8,0,0,5,727,530,197,12669563.914109,23632,68100,1271,291,0,81.370038,18.629962,0,275,259,334,35,30.454042,28.682171,36.987818,3.875969,27.0976616231087
"533100-1",201,533100,1,1828,718,1828,584,1244,1224,346,821,13,42,0,2,20,1323,371,952,940,311,584,8,36,0,1,12,718,619,99,11456001.016892,49881,111100,721,553,22,55.632716,42.669753,1.697531,272,352,184,147,28.481675,36.858639,19.267016,15.39267,13.7883008356546
"533100-2",201,533100,2,2230,798,2230,264,1966,1957,6,1938,4,9,0,0,9,1397,148,1249,1245,6,1229,1,9,0,0,4,798,755,43,16353283.193054,18734,114800,1959,130,0,93.776927,6.223073,0,347,361,260,191,29.939603,31.147541,22.433132,16.479724,5.38847117794486
"533100-3",201,533100,3,2391,796,2391,741,1650,1624,173,1404,2,43,0,2,26,1716,485,1231,1218,155,1020,2,39,0,2,13,796,762,34,9946855.814436,53583,91900,2189,497,69,79.455535,18.039927,2.504537,284,613,342,390,17.434009,37.630448,20.994475,23.941068,4.2713567839196
"533200-1",201,533200,1,931,389,931,106,825,817,3,810,2,2,0,0,8,676,56,620,613,3,606,2,2,0,0,7,389,333,56,13955171.575547,30573,82300,1074,397,31,71.50466,26.431425,2.063915,280,457,156,41,29.978587,48.929336,16.702355,4.389722,14.3958868894602
"533200-2",201,533200,2,1049,481,1049,298,751,739,40,679,7,13,0,0,12,712,192,520,513,35,466,2,10,0,0,7,481,339,142,8302697.663575,23462,91400,787,55,19,91.405343,6.387921,2.206736,111,179,189,84,19.715808,31.793961,33.57016,14.920071,29.5218295218295
"533200-3",201,533200,3,1242,656,1242,247,995,981,139,793,0,48,0,1,14,969,170,799,791,130,615,0,46,0,0,8,656,519,137,6570915.728685,31295,178200,922,172,0,84.277879,15.722121,0,121,238,201,183,16.28533,32.032301,27.05249,24.629879,20.8841463414634
"533300-1",201,533300,1,2368,915,2368,511,1857,1833,23,1785,3,20,0,2,24,1693,335,1358,1347,18,1305,2,20,0,2,11,915,844,71,10262606.158952,26276,83000,1889,680,27,72.765794,26.194145,1.040062,724,736,342,72,38.633938,39.27428,18.249733,3.842049,7.75956284153005
"533300-2",201,533300,2,1970,735,1970,285,1685,1667,28,1636,1,0,1,1,18,1331,171,1160,1150,22,1125,1,0,1,1,10,735,674,61,13862745.489369,19055,61400,1319,343,24,78.232503,20.344009,1.423488,398,412,385,19,32.784185,33.937397,31.713344,1.565074,8.29931972789116
"533300-3",201,533300,3,651,288,651,65,586,584,3,581,0,0,0,0,2,511,46,465,464,3,461,0,0,0,0,1,288,236,52,6644761.217757,32039,54600,373,0,0,100,0,0,112,107,88,16,34.674923,33.126935,27.244582,4.95356,18.0555555555556
"533300-4",201,533300,4,891,375,891,52,839,834,7,813,5,5,0,4,5,712,34,678,673,7,653,5,5,0,3,5,375,336,39,7356535.927515,27273,55200,1122,18,0,98.421053,1.578947,0,236,293,135,30,34.005764,42.21902,19.45245,4.322767,10.4
"533400-1",201,533400,1,1573,615,1573,138,1435,1423,15,1402,1,1,1,3,12,1183,78,1105,1100,15,1080,1,1,1,2,5,615,567,48,25507322.839044,17411,63900,1516,53,18,95.52615,3.339635,1.134216,363,550,206,54,30.946292,46.888321,17.561807,4.603581,7.80487804878049
"533400-3",201,533400,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5982.437077,55515,87900,786,696,0,53.036437,46.963563,0,337,343,184,40,37.278761,37.942478,20.353982,4.424779,NA
"533400-4",201,533400,4,2062,597,2062,1080,982,975,65,882,1,20,0,7,7,1397,650,747,744,57,669,0,13,0,5,3,597,570,27,8229079.244767,38868,87200,1249,1096,30,52.589474,46.147368,1.263158,308,548,311,79,24.719101,43.980738,24.959872,6.340289,4.52261306532663
"533500-1",201,533500,1,2069,605,2069,1372,697,674,250,301,4,118,0,1,23,1462,878,584,566,232,242,3,88,0,1,18,605,581,24,13396470.227969,47188,106200,847,1318,34,38.517508,59.936335,1.546157,480,457,372,151,32.876712,31.30137,25.479452,10.342466,3.96694214876033
"533500-2",201,533500,2,1447,410,1447,972,475,474,256,189,1,28,0,0,1,991,597,394,393,229,140,1,23,0,0,1,410,393,17,6329689.146542,54444,98400,839,813,52,49.237089,47.711268,3.051643,379,282,254,124,36.477382,27.141482,24.446583,11.934552,4.14634146341463
"533500-3",201,533500,3,846,253,846,627,219,210,98,101,0,11,0,0,9,593,416,177,169,86,72,0,11,0,0,8,253,245,8,3552562.839998,48229,108400,224,255,0,46.764092,53.235908,0,115,80,121,12,35.060976,24.390244,36.890244,3.658537,3.16205533596838
"533600-1",201,533600,1,2,1,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,2589817.412636,21422,68600,253,553,112,27.559913,60.239651,12.200436,212,180,218,0,34.754098,29.508197,35.737705,0,0
"533701-1",201,533701,1,767,240,767,736,31,30,9,17,1,3,0,0,1,478,458,20,19,5,12,0,2,0,0,1,240,204,36,11130376.066456,15614,NA,412,737,0,35.857267,64.142733,0,340,58,85,0,70.393375,12.008282,17.598344,0,15
"533701-3",201,533701,3,1663,738,1663,1411,252,243,60,143,0,36,0,4,9,1100,898,202,196,50,109,0,34,0,3,6,738,549,189,5258795.793615,29157,91200,308,1104,306,17.927823,64.260768,17.811409,475,271,233,59,45.761079,26.1079,22.447013,5.684008,25.609756097561
"533801-1",201,533801,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789738.187822,41731,106600,1289,2829,828,26.061464,57.197736,16.740801,1360,767,551,318,45.393858,25.600801,18.391188,10.614152,NA
"533901-3",201,533901,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174130.438717,51462,108800,1676,2180,559,37.961495,49.377123,12.661382,750,883,527,480,28.409091,33.44697,19.962121,18.181818,NA
"533902-1",201,533902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493613.139178,30123,95800,1501,487,56,73.434442,23.825832,2.739726,181,462,530,57,14.715447,37.560976,43.089431,4.634146,NA
"533902-2",201,533902,2,39,10,39,23,16,16,0,11,0,5,0,0,0,25,12,13,13,0,8,0,5,0,0,0,10,10,0,453407.101201,38375,93900,647,1205,90,33.316169,62.049434,4.634398,540,290,226,101,46.672429,25.064823,19.533276,8.729473,0
"534001-1",201,534001,1,560,218,560,443,117,116,24,70,1,21,0,0,1,367,277,90,90,21,54,1,14,0,0,0,218,194,24,2784452.952949,29620,93600,747,970,175,39.48203,51.268499,9.249471,559,481,118,15,47.655584,41.005968,10.059676,1.278772,11.0091743119266
"534002-1",201,534002,1,149,43,149,76,73,71,4,67,0,0,0,0,2,95,44,51,50,4,46,0,0,0,0,1,43,41,2,18439221.529279,54444,92500,1230,1500,201,41.9652,51.177073,6.857728,487,591,330,155,31.158029,37.8119,21.113244,9.916827,4.65116279069767
"534002-2",201,534002,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263629.468852,49245,95000,849,1328,168,36.204691,56.63113,7.164179,468,482,372,74,33.524355,34.527221,26.647564,5.30086,NA
"534003-1",201,534003,1,428,148,428,297,131,127,18,89,0,20,0,0,4,278,182,96,94,18,60,0,16,0,0,2,148,140,8,2669232.89221,61337,129600,877,1009,140,43.287266,49.802567,6.910168,275,410,297,234,22.615132,33.717105,24.424342,19.243421,5.40540540540541
"534203-1",201,534203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4003293.047568,41901,15800,524,788,51,38.444607,57.813646,3.741746,319,292,286,105,31.836327,29.141717,28.542914,10.479042,NA
"540100-1",201,540100,1,60,22,60,12,48,44,14,4,0,26,0,0,4,42,8,34,32,12,4,0,16,0,0,2,22,22,0,3168137.178297,131271,282800,3309,554,2144,55.085733,9.222574,35.691693,257,503,892,2884,5.665785,11.089065,19.664903,63.580247,0
"540100-2",201,540100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50277731.727929,140833,340200,1132,797,585,45.027844,31.702466,23.26969,89,202,428,943,5.354994,12.154031,25.752106,56.738869,NA
"540100-3",201,540100,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9870061.728599,61155,100900,367,968,0,27.490637,72.509363,0,331,309,295,109,31.704981,29.597701,28.256705,10.440613,NA
"540200-1",201,540200,1,2654,1006,2654,1597,1057,1039,596,170,5,260,5,3,18,1960,1085,875,862,510,129,5,213,5,0,13,1006,938,68,26977464.45319,46661,93900,1029,1015,324,43.454392,42.863176,13.682432,545,454,378,320,32.115498,26.753094,22.274602,18.856806,6.75944333996024
"540501-1",201,540501,1,461,188,461,355,106,102,45,40,0,16,0,1,4,287,211,76,74,37,27,0,10,0,0,2,188,147,41,3845071.686792,37827,118400,727,1032,244,36.295557,51.522716,12.181727,173,628,169,341,13.196034,47.902365,12.890923,26.010679,21.8085106382979
"540501-2",201,540501,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88298.034056,30659,NA,427,887,19,32.033008,66.541635,1.425356,218,365,222,28,26.170468,43.817527,26.65066,3.361345,NA
"540501-3",201,540501,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203890.047069,35506,NA,719,1161,113,36.076267,58.253889,5.669844,547,483,196,146,39.868805,35.204082,14.285714,10.641399,NA
"540502-1",201,540502,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8217013.248399,67697,130000,987,201,85,77.533386,15.789474,6.677141,43,385,288,259,4.410256,39.487179,29.538462,26.564103,NA
"540502-2",201,540502,2,18,7,18,5,13,13,12,1,0,0,0,0,0,16,5,11,11,10,1,0,0,0,0,0,7,7,0,8179871.953153,94583,125300,1765,333,0,84.127741,15.872259,0,48,284,753,670,2.735043,16.182336,42.905983,38.176638,0
"540601-1",201,540601,1,45,15,45,9,36,36,23,13,0,0,0,0,0,34,7,27,27,19,8,0,0,0,0,0,15,15,0,4191668.265028,91940,149900,1680,413,427,66.666667,16.388889,16.944444,81,253,598,772,4.753521,14.847418,35.093897,45.305164,0
"540601-2",201,540601,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301599.267758,51957,118100,92,47,0,66.18705,33.81295,0,53,36,13,25,41.732283,28.346457,10.23622,19.685039,NA
"540602-1",201,540602,1,138,48,138,75,63,60,21,31,2,6,0,0,3,86,50,36,36,11,18,2,5,0,0,0,48,39,9,4151699.415786,57338,131800,2192,1556,422,52.565947,37.314149,10.119904,459,894,879,437,17.197452,33.495691,32.933683,16.373173,18.75
"540700-1",201,540700,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28086773.832111,147417,383500,1187,276,369,64.792576,15.065502,20.141921,54,102,225,763,4.72028,8.916084,19.667832,66.695804,NA
"540700-2",201,540700,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,0,895303.10656,53470,117100,527,1737,589,18.471784,60.883281,20.644935,327,596,360,503,18.309071,33.370661,20.156775,28.163494,0
"540700-3",201,540700,3,46,18,46,3,43,43,20,14,0,9,0,0,0,40,3,37,37,17,11,0,9,0,0,0,18,17,1,1003597.507033,75625,117000,1220,368,294,64.824655,19.553666,15.621679,115,353,479,481,8.053221,24.719888,33.543417,33.683473,5.55555555555556
"540800-1",201,540800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35394.590979,47019,91300,705,1785,134,26.867378,68.025915,5.106707,543,464,344,142,36.369725,31.078366,23.040857,9.511052,NA
"540800-2",201,540800,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952399.762559,63476,132700,986,819,166,50.025368,41.552511,8.422121,219,402,359,448,15.336134,28.15126,25.140056,31.372549,NA
"540800-3",201,540800,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302690.955176,62105,103800,944,1317,211,38.187702,53.276699,8.535599,395,333,608,295,24.218271,20.416922,37.277744,18.087063,NA
"540901-1",201,540901,1,2,2,2,0,2,2,0,1,1,0,0,0,0,2,0,2,2,0,1,1,0,0,0,0,2,2,0,464940.238073,106250,191600,2490,105,137,91.14202,3.843338,5.014641,32,212,580,1012,1.742919,11.546841,31.590414,55.119826,0
"540902-2",201,540902,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629471.591153,52583,139900,893,269,378,57.987013,17.467532,24.545455,70,230,294,303,7.80379,25.641026,32.77592,33.779264,NA
"540902-3",201,540902,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4194735.822351,109542,166800,1831,304,208,78.147674,12.974819,8.877507,31,329,491,856,1.816052,19.273579,28.763913,50.146456,NA
"541001-1",201,541001,1,554,291,554,92,462,457,266,138,5,48,0,0,5,433,63,370,367,222,104,5,36,0,0,3,291,281,10,1880724.993797,85233,185400,3603,671,1361,63.939663,11.90772,24.152618,246,600,1243,1575,6.713974,16.375546,33.924672,42.985808,3.43642611683849
"541002-2",201,541002,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1482273.655845,140655,193300,1110,21,199,83.458647,1.578947,14.962406,50,54,238,556,5.567929,6.013363,26.503341,61.915367,NA
"541203-1",201,541203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1377249.45,109808,189200,903,69,0,92.901235,7.098765,0,57,35,226,450,7.421875,4.557292,29.427083,58.59375,NA
"541300-2",201,541300,2,656,184,656,346,310,306,50,109,1,136,0,10,4,431,223,208,205,39,63,1,97,0,5,3,184,178,6,4260938.842949,38382,129400,1898,1640,231,50.358185,43.512868,6.128947,423,667,683,419,19.297445,30.428832,31.158759,19.114964,3.26086956521739
"541300-3",201,541300,3,544,144,544,268,276,266,92,101,0,73,0,0,10,329,153,176,171,62,57,0,52,0,0,5,144,141,3,190474.771463,56816,111400,813,1591,538,27.634262,54.078858,18.28688,407,751,365,212,23.458213,43.285303,21.037464,12.21902,2.08333333333333
"541400-1",201,541400,1,2886,1191,2886,1216,1670,1634,849,464,8,311,2,0,36,2043,779,1264,1245,679,333,5,226,2,0,19,1191,999,192,4578692.077075,69241,136800,4510,2325,1624,53.315995,27.485518,19.198487,1033,1613,1632,1773,17.071558,26.656751,26.970749,29.300942,16.1209068010076
"541601-1",201,541601,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441572.307044,87031,159700,1584,480,353,65.535788,19.85933,14.604882,107,326,521,802,6.093394,18.56492,29.669704,45.671982,NA
"541602-1",201,541602,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1455176.002198,26870,96800,501,2039,144,18.66617,75.968703,5.365127,640,469,291,157,41.104689,30.12203,18.689788,10.083494,NA
"541602-4",201,541602,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108508.24425,67604,151300,1302,844,263,54.047323,35.035284,10.917393,356,396,589,368,20.830895,23.171445,34.464599,21.53306,NA
"541700-1",201,541700,1,2455,1222,2455,860,1595,1523,883,541,6,85,0,8,72,1812,566,1246,1200,740,379,6,70,0,5,46,1222,1113,109,43147679.718172,50481,114100,1771,506,214,71.095945,20.313127,8.590927,171,506,639,397,9.982487,29.538821,37.302977,23.175715,8.91980360065466
"541700-2",201,541700,2,421,209,421,292,129,128,56,52,0,16,0,4,1,312,209,103,103,50,40,0,10,0,3,0,209,188,21,100471992.079876,57394,158300,1748,1527,304,48.840458,42.665549,8.493993,363,695,816,424,15.796345,30.24369,35.509138,18.450827,10.0478468899522
"541700-3",201,541700,3,2172,1356,2172,493,1679,1630,857,490,2,268,7,6,49,1816,379,1437,1405,768,407,2,218,6,4,32,1356,1185,171,35052771.81846,61397,NA,1102,475,267,59.761388,25.759219,14.479393,67,267,360,705,4.789135,19.085061,25.732666,50.393138,12.6106194690265
"541800-1",201,541800,1,2220,1115,2220,632,1588,1534,944,365,11,205,1,8,54,1699,429,1270,1236,802,267,9,151,1,6,34,1115,978,137,41199081.806396,56838,131300,1658,799,703,52.468354,25.28481,22.246835,238,561,759,562,11.226415,26.462264,35.801887,26.509434,12.2869955156951
"541800-2",201,541800,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1745965.918639,52601,107000,915,795,70,51.404494,44.662921,3.932584,263,379,337,264,21.158488,30.490748,27.111826,21.238938,NA
"541900-1",201,541900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149185.837151,62083,120300,813,820,328,41.45844,41.8154,16.72616,227,345,387,436,16.272401,24.731183,27.741935,31.25448,NA
"541900-2",201,541900,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8792206.234173,93833,163700,2769,563,417,73.859696,15.017338,11.122966,100,469,818,811,4.549591,21.33758,37.215651,36.897179,NA
"542000-1",201,542000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189579.261502,73212,134200,2964,1426,497,60.650706,29.179456,10.169838,442,941,996,650,14.592275,31.066359,32.882139,21.459227,NA
"542000-3",201,542000,3,3,1,3,0,3,3,0,0,0,3,0,0,0,3,0,3,3,0,0,0,3,0,0,0,1,1,0,852311.483517,56985,98500,824,497,148,56.09258,33.832539,10.074881,275,229,237,174,30.054645,25.027322,25.901639,19.016393,0
"542101-2",201,542101,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265343.403515,64167,126800,3250,3000,529,47.942174,44.254315,7.803511,1139,1115,1299,963,25.221435,24.689991,28.764393,21.324181,NA
"542200-1",201,542200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303694.257997,56591,130300,3496,2303,339,56.956663,37.520365,5.522972,788,810,1392,724,21.217017,21.80937,37.479806,19.493807,NA
"542301-2",201,542301,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388164.08034,61232,123800,2569,2508,366,47.198236,46.077531,6.724233,649,975,1127,579,19.489489,29.279279,33.843844,17.387387,NA
"542301-3",201,542301,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127537.424089,80000,142200,1441,573,199,65.115228,25.892454,8.992318,105,387,547,340,7.614213,28.063814,39.666425,24.655547,NA
"542302-1",201,542302,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396491.147852,56641,135100,2733,1223,631,59.581426,26.662307,13.756268,501,838,903,760,16.688874,27.914724,30.079947,25.316456,NA
"542400-1",201,542400,1,723,252,723,287,436,426,108,276,0,42,0,0,10,402,155,247,241,66,150,0,25,0,0,6,252,241,11,2296222.753819,46067,104500,1840,968,342,58.412698,30.730159,10.857143,388,566,734,347,19.066339,27.813268,36.068796,17.051597,4.36507936507936
"542400-2",201,542400,2,3,1,3,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,1,0,17029273.380359,48017,132600,1334,652,98,64.011516,31.285988,4.702495,291,269,479,339,21.117562,19.521045,34.760522,24.600871,0
"542400-3",201,542400,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10418780.838206,32111,94700,661,1063,104,36.159737,58.150985,5.689278,188,448,370,84,17.247706,41.100917,33.944954,7.706422,NA
"542500-1",201,542500,1,16,7,16,2,14,13,8,3,0,2,0,0,1,12,2,10,10,7,3,0,0,0,0,0,7,6,1,36382620.544072,84576,164000,2103,93,41,94.009835,4.157354,1.832812,72,245,661,645,4.436229,15.095502,40.727049,39.74122,14.2857142857143
"542600-1",201,542600,1,5,1,5,0,5,0,0,0,0,0,0,0,5,4,0,4,0,0,0,0,0,0,0,4,1,1,0,12379058.356383,86169,136900,2084,1161,157,61.258083,34.126984,4.614932,277,583,815,569,12.344029,25.980392,36.319073,25.356506,0
"542900-3",201,542900,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3247467.708992,64844,115300,1346,865,219,55.390946,35.596708,9.012346,383,363,424,458,23.525799,22.297297,26.044226,28.132678,NA
"543001-1",201,543001,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9265752.446429,96618,281100,818,169,497,55.121294,11.38814,33.490566,86,84,213,518,9.54495,9.322974,23.6404,57.491676,100
"543002-2",201,543002,2,106,92,106,11,95,93,50,22,0,19,0,2,2,64,8,56,56,32,13,0,9,0,2,0,92,30,62,3783604.369913,92813,238200,1415,386,283,67.898273,18.522073,13.579655,67,232,476,599,4.876274,16.885007,34.643377,43.595342,67.3913043478261
"543100-1",201,543100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2628201.74519,68194,148700,1029,801,22,55.561555,43.25054,1.187905,243,294,296,238,22.689076,27.45098,27.637722,22.222222,NA
"543200-1",201,543200,1,2579,1081,2579,1005,1574,1553,1194,204,2,147,1,5,21,1917,650,1267,1256,1006,129,2,116,1,2,11,1081,965,116,44073535.797336,46182,157100,1397,954,348,51.759911,35.346425,12.893664,424,505,679,494,20.171265,24.024738,32.302569,23.501427,10.7308048103608
"543200-2",201,543200,2,1746,982,1746,336,1410,1388,777,116,3,491,1,0,22,1455,271,1184,1166,660,90,3,412,1,0,18,982,849,133,376915910.062105,52377,235500,840,271,556,50.389922,16.256749,33.353329,70,155,262,634,6.244425,13.82694,23.371989,56.556646,13.5437881873727
"543200-3",201,543200,3,1599,713,1599,860,739,714,507,159,0,47,0,1,25,1113,539,574,564,435,87,0,41,0,1,10,713,509,204,15841363.958454,37120,138300,820,404,0,66.993464,33.006536,0,217,280,249,94,25.833333,33.333333,29.642857,11.190476,28.6115007012623
"550100-1",201,550100,1,2011,1103,2011,503,1508,1464,56,1379,4,21,0,4,44,1285,306,979,945,49,875,4,14,0,3,34,1103,798,305,25537586.414668,19115,NA,1196,263,0,81.973955,18.026045,0,141,153,399,49,19.002695,20.619946,53.773585,6.603774,27.6518585675431
"550100-2",201,550100,2,1894,880,1894,1201,693,674,31,619,0,19,2,3,19,1182,741,441,434,21,395,0,16,2,0,7,880,667,213,7432338.912179,30568,15400,1214,1261,0,49.050505,50.949495,0,653,480,273,44,45.034483,33.103448,18.827586,3.034483,24.2045454545455
