"","COUNTY","TRACT","BLKGRP","SUM_POP100","SUM_HU100","SUM_TotPop","SUM_HispPo","SUM_NonHis","SUM_NHOneR","SUM_NH_Whi","SUM_NH_Bla","SUM_NH_AmI","SUM_NH_Asi","SUM_NH_Haw","SUM_NH_Oth","SUM_NH_2or","SUM_VAP_To","SUM_VAP_Hi","SUM_VAP_No","SUM_VAP_NH","SUM_VAP__1","SUM_VAP__2","SUM_VAP__3","SUM_VAP__4","SUM_VAP_Ha","SUM_VAP__5","SUM_VAP__6","SUM_TotHou","SUM_OccHU","SUM_Vacant","Shapearea","Median_HHI","Median_House_Value","Only_English","Only_Spanish","Other_Languages","Percent_Only_English","Percent_Only_Spanish","Percent_Other_Languages","No_HS","HS_Graduate","Some_College","BS_and_Higher","Percent_No_HS","Percent_HS_Graduate","Percent_Some_College","Percent_BS_and_Higher","Vac_Rate"
"211100-5",201,211100,5,860,305,860,389,471,464,8,450,5,0,0,1,7,573,230,343,337,8,323,5,0,0,1,6,305,263,42,3017115.048697,28500,69600,539,258,39,64.473684,30.861244,4.665072,157,111,194,67,29.678639,20.982987,36.672968,12.665406,13.7704918032787
"211100-6",201,211100,6,1315,503,1315,829,486,479,11,457,9,2,0,0,7,887,513,374,367,7,350,8,2,0,0,7,503,406,97,3557357.018895,21465,54500,892,548,19,61.137766,37.559973,1.302262,546,187,72,51,63.785047,21.845794,8.411215,5.957944,19.2842942345924
"211200-1",201,211200,1,829,453,829,152,677,673,15,655,1,1,0,1,4,639,97,542,538,11,525,0,1,0,1,4,453,344,109,7400523.336128,18490,75000,1049,142,51,84.460548,11.433172,4.10628,347,354,102,8,42.786683,43.649815,12.577065,0.986436,24.0618101545254
"211200-2",201,211200,2,1245,612,1245,330,915,909,5,892,3,7,1,1,6,895,188,707,701,5,688,3,3,1,1,6,612,488,124,7473313.918169,30147,75800,563,73,29,84.661654,10.977444,4.360902,182,226,81,65,32.851986,40.794224,14.620939,11.732852,20.2614379084967
"211200-3",201,211200,3,757,318,757,469,288,284,9,274,0,1,0,0,4,566,336,230,226,9,216,0,1,0,0,4,318,255,63,3462988.752027,22986,55200,118,362,0,24.583333,75.416667,0,168,59,55,19,55.813953,19.601329,18.272425,6.312292,19.811320754717
"211300-1",201,211300,1,766,439,766,177,589,584,26,556,2,0,0,0,5,596,116,480,476,26,448,2,0,0,0,4,439,372,67,4196861.060781,6679,63900,896,0,0,100,0,0,411,212,51,96,53.376623,27.532468,6.623377,12.467532,15.2619589977221
"211300-2",201,211300,2,1423,603,1423,392,1031,1017,29,987,0,0,0,1,14,872,223,649,641,18,623,0,0,0,0,8,603,488,115,4515780.320745,13594,NA,741,284,72,67.547858,25.888788,6.563355,352,114,136,12,57.32899,18.566775,22.149837,1.954397,19.0713101160862
"211300-3",201,211300,3,1003,456,1003,268,735,730,45,680,0,0,0,5,5,762,175,587,584,44,535,0,0,0,5,3,456,335,121,5716580.040209,23409,68000,1255,190,16,85.900068,13.004791,1.09514,505,314,49,60,54.418103,33.836207,5.280172,6.465517,26.5350877192982
"211300-4",201,211300,4,1086,525,1086,315,771,768,5,762,0,0,0,1,3,797,204,593,591,4,586,0,0,0,1,2,525,397,128,7769715.797384,18359,43700,480,202,0,70.381232,29.618768,0,321,136,93,48,53.67893,22.742475,15.551839,8.026756,24.3809523809524
"211300-5",201,211300,5,768,362,768,249,519,512,8,499,1,0,1,3,7,550,150,400,397,8,386,1,0,1,1,3,362,266,96,7333925.858565,23546,24000,631,171,0,78.678304,21.321696,0,278,326,35,20,42.185129,49.468892,5.311077,3.034901,26.5193370165746
"211400-1",201,211400,1,1088,459,1088,384,704,701,17,671,6,7,0,0,3,760,240,520,517,15,495,4,3,0,0,3,459,378,81,5091151.816829,42500,71900,685,121,0,84.987593,15.012407,0,137,182,136,93,25,33.211679,24.817518,16.970803,17.6470588235294
"211400-2",201,211400,2,1440,542,1440,339,1101,1096,49,1043,1,3,0,0,5,856,188,668,665,44,617,1,3,0,0,3,542,479,63,15665939.404974,15882,96000,967,501,0,65.871935,34.128065,0,456,269,82,44,53.584019,31.609871,9.635723,5.170388,11.6236162361624
"211400-3",201,211400,3,1162,536,1162,587,575,565,222,272,5,60,5,1,10,910,408,502,496,212,224,2,55,2,1,6,536,459,77,19519418.65977,87096,205700,590,403,265,46.899841,32.034976,21.065183,224,139,29,483,25.6,15.885714,3.314286,55.2,14.365671641791
"211500-1",201,211500,1,1216,359,1216,1183,33,33,23,10,0,0,0,0,0,840,821,19,19,14,5,0,0,0,0,0,359,322,37,25087162.99918,30875,NA,29,1009,0,2.793834,97.206166,0,419,34,38,0,85.336049,6.924644,7.739308,0,10.3064066852368
"211500-2",201,211500,2,2190,687,2190,1862,328,321,84,220,5,9,2,1,7,1509,1256,253,247,65,170,4,5,2,1,6,687,631,56,16329424.545319,36569,79900,580,1970,14,22.620905,76.833073,0.546022,804,426,185,136,51.837524,27.466151,11.927789,8.768536,8.15138282387191
"211500-3",201,211500,3,1703,527,1703,1613,90,87,84,2,1,0,0,0,3,1169,1100,69,66,63,2,1,0,0,0,3,527,463,64,10302366.469755,34257,68000,300,1433,0,17.311021,82.688979,0,605,166,155,87,59.723593,16.386969,15.301086,8.588351,12.1442125237192
"211500-4",201,211500,4,835,258,835,787,48,48,40,7,0,1,0,0,0,583,543,40,40,34,5,0,1,0,0,0,258,226,32,4162662.513616,35687,84500,156,485,0,24.336973,75.663027,0,277,39,40,36,70.663265,9.94898,10.204082,9.183673,12.4031007751938
"211500-5",201,211500,5,963,285,963,918,45,45,39,2,0,1,0,3,0,632,598,34,34,30,2,0,1,0,1,0,285,256,29,9237030.552866,19760,65000,81,305,0,20.984456,79.015544,0,176,37,41,0,69.291339,14.566929,16.141732,0,10.1754385964912
